,id,Name,Symbol,price,var_last_heure,var_last_day,var_cap,var_volume_day,var_circulating_supply,date,heure,variation_1h,moyenne_day
1176,61,Theta Network,THETA,1.5775054033820655e-05,0.0,0.0,0.00036829275525051007,0.00022479201922858495,1000000000,2024-11-06,19:39:37,0.0007142857142857129,1.600033439531291e-05
1177,61,Theta Network,THETA,1.5775054033820655e-05,0.0,0.0,0.00036829275525051007,0.00022479201922858495,1000000000,2024-11-06,19:40:01,0.0,1.600033439531291e-05
1178,61,Theta Network,THETA,1.5775054033820655e-05,0.0,0.0,0.0003680068264970262,0.00022516519942181423,1000000000,2024-11-06,19:45:47,0.0,1.600033439531291e-05
1179,61,Theta Network,THETA,1.5775054033820655e-05,0.0,0.0,0.0003683426513943025,0.00022516519942181423,1000000000,2024-11-06,19:46:07,0.0,1.600033439531291e-05
1180,61,Theta Network,THETA,1.5775054033820655e-05,0.0,0.0,0.0003680068264970262,0.00022516519942181423,1000000000,2024-11-06,19:46:27,0.0,1.600033439531291e-05
1181,61,Theta Network,THETA,1.590651466664873e-05,0.0,0.0,0.0003792529476469053,0.00023412226759777,1000000000,2024-11-06,23:08:04,8.333333333333341e-05,1.600033439531291e-05
1182,60,Celestia,TIA,7.085705918878361e-05,0.0,8.4,0.0003614633787496298,0.0010807281593121774,219947637,2024-10-26,12:48:54,0.0,7.172488955179497e-05
1183,60,Celestia,TIA,7.072559855595554e-05,0.0,8.56,0.00036059319858479665,0.0010806365050249054,219947637,2024-10-26,12:56:17,-1.8552875695732444e-05,7.172488955179497e-05
1184,60,Celestia,TIA,7.085705918878361e-05,0.0,8.56,0.0003608753709836915,0.0010800292448755145,219947637,2024-10-26,13:01:33,1.8587360594795143e-05,7.172488955179497e-05
1185,59,Celestia,TIA,6.941099222767481e-05,0.87,1.27,0.0003466452909092819,0.00032855393445066505,220166815,2024-10-27,11:11:05,-0.00020408163265306017,7.017143719777117e-05
1186,63,Celestia,TIA,6.914807096201866e-05,0.7,0.59,0.00034458012818744036,0.0003089317556153739,220385994,2024-10-27,18:31:43,-3.787878787878875e-05,7.017143719777117e-05
